team1,team2,winner,winner_team_score,winner_team_wicket,opponent_team_score,opponent_team_wicket,winner_played_at,match_date,time_of_day,series,toss,toss_decision,ground_country
New Zealand,West Indies,New Zealand,266,10,159,10,away,"Jul 10, 2004",Day,NatWest Series,West Indies,field first,England
Bangladesh,Hong Kong,Bangladesh,221,9,105,9,away,"Jul 16, 2004",Day,Asia Cup,Hong Kong,field first,Sri Lanka
India,United Arab Emirates,India,260,6,144,6,away,"Jul 16, 2004",Day and night,Asia Cup,India,bat first,Sri Lanka
Pakistan,Bangladesh,Pakistan,257,6,181,6,away,"Jul 17, 2004",Day,Asia Cup,Pakistan,bat first,Sri Lanka
Sri Lanka,United Arab Emirates,Sri Lanka,239,10,123,10,home,"Jul 17, 2004",Day and night,Asia Cup,Sri Lanka,bat first,Sri Lanka
Pakistan,Hong Kong,Pakistan,343,5,165,5,away,"Jul 18, 2004",Day,Asia Cup,Pakistan,bat first,Sri Lanka
Sri Lanka,India,Sri Lanka,282,4,270,4,home,"Jul 18, 2004",Day and night,Asia Cup,Sri Lanka,bat first,Sri Lanka
Bangladesh,India,India,178,2,177,2,away,"Jul 21, 2004",Day,Asia Cup,India,field first,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,123,3,122,3,home,"Jul 21, 2004",Day and night,Asia Cup,Pakistan,bat first,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,191,0,190,0,home,"Jul 23, 2004",Day and night,Asia Cup,Bangladesh,bat first,Sri Lanka
Pakistan,India,Pakistan,300,9,241,9,away,"Jul 25, 2004",Day and night,Asia Cup,Pakistan,bat first,Sri Lanka
India,Sri Lanka,India,271,6,267,6,away,"Jul 27, 2004",Day and night,Asia Cup,India,bat first,Sri Lanka
Bangladesh,Pakistan,Pakistan,167,4,166,4,away,"Jul 29, 2004",Day and night,Asia Cup,Bangladesh,bat first,Sri Lanka
Sri Lanka,India,Sri Lanka,228,9,203,9,home,"Aug 1, 2004",Day and night,Asia Cup,Sri Lanka,bat first,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,265,7,263,7,home,"Aug 20, 2004",Day and night,South Africa tour of Sri Lanka,South Africa,bat first,Sri Lanka
Pakistan,India,Pakistan,192,6,127,6,away,"Aug 21, 2004",Day,Videocon Cup,India,field first,Netherlands
Sri Lanka,South Africa,Sri Lanka,213,9,176,9,home,"Aug 22, 2004",Day,South Africa tour of Sri Lanka,Sri Lanka,bat first,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,192,6,191,6,home,"Aug 25, 2004",Day and night,South Africa tour of Sri Lanka,South Africa,bat first,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,236,3,235,3,home,"Aug 28, 2004",Day,South Africa tour of Sri Lanka,Sri Lanka,field first,Sri Lanka
Australia,Pakistan,Australia,192,7,175,7,away,"Aug 28, 2004",Day,Videocon Cup,Australia,bat first,Netherlands
Sri Lanka,South Africa,Sri Lanka,308,8,259,8,home,"Aug 31, 2004",Day,South Africa tour of Sri Lanka,South Africa,field first,Sri Lanka
India,England,England,171,3,170,3,home,"Sep 1, 2004",Day,India tour of England,England,field first,England
England,India,England,307,5,237,5,home,"Sep 3, 2004",Day,India tour of England,India,field first,England
Australia,Pakistan,Australia,269,6,259,6,away,"Sep 4, 2004",Day,Australia tour of England,Pakistan,field first,England
India,England,India,204,10,181,10,away,"Sep 5, 2004",Day,India tour of England,India,bat first,England
England,Zimbabwe,England,299,7,147,7,home,"Sep 10-11, 2004",Day,ICC Champions Trophy,Zimbabwe,field first,England
New Zealand,United States of America,New Zealand,347,4,137,4,away,"Sep 10, 2004",Day,ICC Champions Trophy,United States of America,field first,England
India,Kenya,India,290,4,192,4,away,"Sep 11, 2004",Day,ICC Champions Trophy,Kenya,field first,England
Bangladesh,South Africa,South Africa,94,1,93,1,away,"Sep 12, 2004",Day,ICC Champions Trophy,Bangladesh,bat first,England
United States of America,Australia,Australia,66,1,65,1,away,"Sep 13, 2004",Day,ICC Champions Trophy,Australia,field first,England
Zimbabwe,Sri Lanka,Sri Lanka,195,6,191,6,away,"Sep 14, 2004",Day,ICC Champions Trophy,Sri Lanka,field first,England
Kenya,Pakistan,Pakistan,95,3,94,3,away,"Sep 14-15, 2004",Day,ICC Champions Trophy,Pakistan,field first,England
West Indies,Bangladesh,West Indies,269,3,131,3,away,"Sep 15, 2004",Day,ICC Champions Trophy,Bangladesh,field first,England
New Zealand,Australia,Australia,199,3,198,3,away,"Sep 16, 2004",Day,ICC Champions Trophy,Australia,field first,England
England,Sri Lanka,England,251,7,95,7,home,"Sep 17-18, 2004",Day,ICC Champions Trophy,Sri Lanka,field first,England
South Africa,West Indies,West Indies,249,5,246,5,away,"Sep 18-19, 2004",Day,ICC Champions Trophy,West Indies,field first,England
India,Pakistan,Pakistan,201,7,200,7,away,"Sep 19, 2004",Day,ICC Champions Trophy,Pakistan,field first,England
Australia,England,England,262,4,259,4,home,"Sep 21, 2004",Day,ICC Champions Trophy,England,field first,England
Pakistan,West Indies,West Indies,132,3,131,3,away,"Sep 22, 2004",Day,ICC Champions Trophy,Pakistan,bat first,England
England,West Indies,West Indies,218,8,217,8,away,"Sep 25, 2004",Day,ICC Champions Trophy,West Indies,field first,England
Pakistan,Zimbabwe,Pakistan,292,7,148,7,home,"Sep 30, 2004",Day,Paktel Cup,Pakistan,bat first,Pakistan
Zimbabwe,Pakistan,Pakistan,258,7,252,7,home,"Oct 3, 2004",Day,Paktel Cup,Pakistan,field first,Pakistan
Sri Lanka,Pakistan,Pakistan,233,2,232,2,home,"Oct 6, 2004",Day,Paktel Cup,Sri Lanka,bat first,Pakistan
Zimbabwe,Sri Lanka,Sri Lanka,108,3,104,3,away,"Oct 9, 2004",Day,Paktel Cup,Sri Lanka,field first,Pakistan
Sri Lanka,Pakistan,Pakistan,297,4,293,4,home,"Oct 14, 2004",Day and night,Paktel Cup,Pakistan,field first,Pakistan
Sri Lanka,Pakistan,Sri Lanka,287,7,168,7,away,"Oct 16, 2004",Day and night,Paktel Cup,Pakistan,field first,Pakistan
New Zealand,Bangladesh,New Zealand,224,10,86,10,away,"Nov 2, 2004",Day,New Zealand tour of Bangladesh,New Zealand,bat first,Bangladesh
Bangladesh,New Zealand,New Zealand,148,7,146,7,away,"Nov 5, 2004",Day and night,New Zealand tour of Bangladesh,Bangladesh,bat first,Bangladesh
New Zealand,Bangladesh,New Zealand,250,7,167,7,away,"Nov 7, 2004",Day and night,New Zealand tour of Bangladesh,New Zealand,bat first,Bangladesh
India,Pakistan,Pakistan,293,4,292,4,away,"Nov 13, 2004",Day and night,Pakistan tour of India,India,bat first,India
Zimbabwe,England,England,197,5,195,5,away,"Nov 28, 2004",Day,England tour of Zimbabwe,England,field first,Zimbabwe
England,Zimbabwe,England,263,6,102,6,away,"Dec 1, 2004",Day,England tour of Zimbabwe,England,bat first,Zimbabwe
Zimbabwe,England,England,239,2,238,2,away,"Dec 4, 2004",Day,England tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Australia,New Zealand,New Zealand,247,6,246,6,away,"Dec 5, 2004",Day and night,New Zealand tour of Australia,New Zealand,field first,Australia
England,Zimbabwe,England,261,6,187,6,away,"Dec 5, 2004",Day,England tour of Zimbabwe,England,bat first,Zimbabwe
Australia,New Zealand,Australia,261,7,244,7,home,"Dec 8, 2004",Day and night,New Zealand tour of Australia,Australia,bat first,Australia
India,Bangladesh,India,245,8,234,8,away,"Dec 23, 2004",Day,India tour of Bangladesh,Bangladesh,field first,Bangladesh
Sri Lanka,New Zealand,New Zealand,144,3,141,3,home,"Dec 26, 2004",Day,Sri Lanka tour of New Zealand,New Zealand,field first,New Zealand
Bangladesh,India,Bangladesh,229,9,214,9,home,"Dec 26, 2004",Day and night,India tour of Bangladesh,Bangladesh,bat first,Bangladesh
India,Bangladesh,India,348,5,257,5,away,"Dec 27, 2004",Day and night,India tour of Bangladesh,India,bat first,Bangladesh
Australia,West Indies,Australia,301,4,185,4,home,"Jan 14, 2005",Day and night,VB Series,Australia,bat first,Australia
Pakistan,Australia,Australia,253,6,272,6,home,"Jan 16, 2005",Day,VB Series,Pakistan,bat first,Australia
West Indies,Pakistan,Pakistan,274,4,273,4,away,"Jan 19, 2005",Day,VB Series,Pakistan,field first,Australia
Zimbabwe,Bangladesh,Zimbabwe,251,8,229,8,away,"Jan 20, 2005",Day and night,Zimbabwe tour of Bangladesh,Zimbabwe,bat first,Bangladesh
Pakistan,Australia,Australia,167,1,163,1,home,"Jan 23, 2005",Day and night,VB Series,Australia,field first,Australia
Zimbabwe,Bangladesh,Zimbabwe,237,5,206,5,away,"Jan 24, 2005",Day,Zimbabwe tour of Bangladesh,Zimbabwe,bat first,Bangladesh
Bangladesh,Zimbabwe,Bangladesh,244,9,204,9,home,"Jan 26, 2005",Day,Zimbabwe tour of Bangladesh,Bangladesh,bat first,Bangladesh
Australia,West Indies,Australia,269,8,196,8,home,"Jan 26, 2005",Day and night,VB Series,Australia,bat first,Australia
West Indies,Pakistan,West Indies,339,4,281,4,away,"Jan 28, 2005",Day,VB Series,Pakistan,field first,Australia
Bangladesh,Zimbabwe,Bangladesh,247,9,189,9,home,"Jan 29, 2005",Day and night,Zimbabwe tour of Bangladesh,Bangladesh,bat first,Bangladesh
Australia,Pakistan,Pakistan,268,7,265,7,away,"Jan 30, 2005",Day and night,VB Series,Australia,bat first,Australia
South Africa,England,England,103,3,175,3,away,"Jan 30, 2005",Day,England tour of South Africa,England,field first,South Africa
Zimbabwe,Bangladesh,Bangladesh,202,2,198,2,home,"Jan 31, 2005",Day,Zimbabwe tour of Bangladesh,Zimbabwe,bat first,Bangladesh
Pakistan,West Indies,Pakistan,307,8,277,8,away,"Feb 1, 2005",Day,VB Series,West Indies,field first,Australia
Australia,Pakistan,Australia,237,10,219,10,home,"Feb 4, 2005",Day and night,VB Series,Australia,bat first,Australia
England,South Africa,South Africa,270,7,267,7,home,"Feb 4, 2005",Day and night,England tour of South Africa,England,bat first,South Africa
Australia,Pakistan,Australia,239,9,208,9,home,"Feb 6, 2005",Day and night,VB Series,Australia,bat first,Australia
South Africa,England,South Africa,291,5,183,5,home,"Feb 6, 2005",Day,England tour of South Africa,England,field first,South Africa
South Africa,England,South Africa,311,7,304,7,home,"Feb 9, 2005",Day and night,England tour of South Africa,South Africa,bat first,South Africa
England,South Africa,South Africa,241,7,240,7,home,"Feb 13, 2005",Day,England tour of South Africa,South Africa,field first,South Africa
Australia,New Zealand,Australia,236,7,226,7,away,"Feb 19, 2005",Day and night,Australia tour of New Zealand,Australia,bat first,New Zealand
Australia,New Zealand,Australia,314,6,208,6,away,"Feb 22, 2005",Day and night,Australia tour of New Zealand,New Zealand,field first,New Zealand
South Africa,Zimbabwe,South Africa,301,7,136,7,home,"Feb 25, 2005",Day and night,Zimbabwe tour of South Africa,Zimbabwe,field first,South Africa
Australia,New Zealand,Australia,264,5,178,5,away,"Feb 26, 2005",Day and night,Australia tour of New Zealand,Australia,bat first,New Zealand
South Africa,Zimbabwe,South Africa,329,6,198,6,home,"Feb 27, 2005",Day,Zimbabwe tour of South Africa,Zimbabwe,field first,South Africa
New Zealand,Australia,Australia,236,3,233,3,away,"Mar 1, 2005",Day,Australia tour of New Zealand,Australia,field first,New Zealand
Zimbabwe,South Africa,South Africa,207,5,206,5,home,"Mar 2, 2005",Day and night,Zimbabwe tour of South Africa,Zimbabwe,bat first,South Africa
Australia,New Zealand,Australia,347,5,225,5,away,"Mar 5, 2005",Day,Australia tour of New Zealand,New Zealand,field first,New Zealand
India,Pakistan,India,281,8,194,8,home,"Apr 2, 2005",Day,Pakistan tour of India,India,bat first,India
India,Pakistan,India,356,9,298,9,home,"Apr 5, 2005",Day,Pakistan tour of India,India,bat first,India
Pakistan,India,Pakistan,319,9,213,9,away,"Apr 9, 2005",Day,Pakistan tour of India,Pakistan,bat first,India
India,Pakistan,Pakistan,319,7,315,7,away,"Apr 12, 2005",Day,Pakistan tour of India,India,bat first,India
India,Pakistan,Pakistan,252,5,249,5,away,"Apr 15, 2005",Day,Pakistan tour of India,India,bat first,India
Pakistan,India,Pakistan,303,8,144,8,away,"Apr 17, 2005",Day,Pakistan tour of India,Pakistan,bat first,India
West Indies,South Africa,South Africa,255,2,253,2,away,"May 7, 2005",Day,South Africa tour of West Indies,West Indies,bat first,West Indies
West Indies,South Africa,South Africa,124,2,152,2,away,"May 8, 2005",Day,South Africa tour of West Indies,South Africa,field first,West Indies
South Africa,West Indies,South Africa,284,6,283,6,away,"May 11, 2005",Day,South Africa tour of West Indies,West Indies,field first,West Indies
West Indies,South Africa,South Africa,232,4,231,4,away,"May 14, 2005",Day,South Africa tour of West Indies,South Africa,field first,West Indies
West Indies,South Africa,South Africa,141,3,138,3,away,"May 15, 2005",Day,South Africa tour of West Indies,South Africa,field first,West Indies
Pakistan,West Indies,Pakistan,192,10,133,10,away,"May 18, 2005",Day,Pakistan tour of West Indies,West Indies,field first,West Indies
Pakistan,West Indies,Pakistan,258,8,218,8,away,"May 21, 2005",Day,Pakistan tour of West Indies,Pakistan,bat first,West Indies
Pakistan,West Indies,Pakistan,303,6,281,6,away,"May 22, 2005",Day,Pakistan tour of West Indies,West Indies,field first,West Indies
Bangladesh,England,England,192,0,190,0,home,"Jun 16, 2005",Day,NatWest Series,England,field first,England
Australia,Bangladesh,Bangladesh,250,5,249,5,away,"Jun 18, 2005",Day,NatWest Series,Australia,bat first,Wales
Australia,England,England,253,7,252,7,home,"Jun 19, 2005",Day,NatWest Series,Australia,bat first,England
England,Bangladesh,England,391,4,223,4,home,"Jun 21, 2005",Day and night,NatWest Series,England,bat first,England
Australia,England,Australia,266,5,209,5,away,"Jun 23, 2005",Day and night,NatWest Series,England,field first,England
Bangladesh,Australia,Australia,140,0,139,0,away,"Jun 25, 2005",Day,NatWest Series,Australia,field first,England
Bangladesh,England,England,209,5,208,5,home,"Jun 26, 2005",Day,NatWest Series,Bangladesh,bat first,England
Bangladesh,Australia,Australia,254,4,250,4,away,"Jun 30, 2005",Day,NatWest Series,Australia,field first,England
Australia,England,England,221,1,219,1,home,"Jul 7, 2005",Day,Australia tour of England and Scotland,England,field first,England
England,Australia,Australia,224,3,223,3,away,"Jul 10, 2005",Day,Australia tour of England and Scotland,Australia,field first,England
England,Australia,Australia,229,2,228,2,away,"Jul 12, 2005",Day,Australia tour of England and Scotland,Australia,field first,England
India,Sri Lanka,Sri Lanka,209,7,205,7,home,"Jul 30, 2005",Day and night,Indian Oil Cup,India,bat first,Sri Lanka
West Indies,India,India,180,4,178,4,away,"Jul 31, 2005",Day and night,Indian Oil Cup,West Indies,bat first,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,241,6,191,6,home,"Aug 2, 2005",Day and night,Indian Oil Cup,Sri Lanka,bat first,Sri Lanka
India,Sri Lanka,Sri Lanka,221,6,220,6,home,"Aug 3, 2005",Day and night,Indian Oil Cup,India,bat first,Sri Lanka
West Indies,Sri Lanka,West Indies,226,7,193,7,away,"Aug 6, 2005",Day and night,Indian Oil Cup,West Indies,bat first,Sri Lanka
India,West Indies,India,262,4,255,4,away,"Aug 7, 2005",Day and night,Indian Oil Cup,India,bat first,Sri Lanka
Sri Lanka,India,Sri Lanka,281,9,263,9,home,"Aug 9, 2005",Day and night,Indian Oil Cup,Sri Lanka,bat first,Sri Lanka
Africa XI,Asia XI,South Africa,196,10,198,10,away,"Aug 17, 2005",Day and night,Africa XI tour of South Africa,Asia XI,field first,South Africa
New Zealand,Zimbabwe,New Zealand,397,5,205,5,away,"Aug 24, 2005",Day,Videocon Triangular Series,Zimbabwe,field first,Zimbabwe
New Zealand,India,New Zealand,215,10,164,10,away,"Aug 26, 2005",Day,Videocon Triangular Series,New Zealand,bat first,Zimbabwe
India,Zimbabwe,India,226,6,65,6,away,"Aug 29, 2005",Day,Videocon Triangular Series,Zimbabwe,field first,Zimbabwe
Sri Lanka,Bangladesh,Sri Lanka,269,9,181,9,home,"Aug 31, 2005",Day,Bangladesh tour of Sri Lanka,Bangladesh,field first,Sri Lanka
New Zealand,Zimbabwe,New Zealand,238,10,211,10,away,"Aug 31, 2005",Day,Videocon Triangular Series,New Zealand,bat first,Zimbabwe
Sri Lanka,Bangladesh,Sri Lanka,295,5,220,5,home,"Sep 2, 2005",Day,Bangladesh tour of Sri Lanka,Bangladesh,field first,Sri Lanka
New Zealand,India,India,279,4,278,4,away,"Sep 2, 2005",Day,Videocon Triangular Series,New Zealand,bat first,Zimbabwe
Bangladesh,Sri Lanka,Sri Lanka,106,4,108,4,home,"Sep 4, 2005",Day,Bangladesh tour of Sri Lanka,Sri Lanka,field first,Sri Lanka
Zimbabwe,India,India,255,6,250,6,away,"Sep 4, 2005",Day,Videocon Triangular Series,India,field first,Zimbabwe
India,New Zealand,New Zealand,278,4,276,4,away,"Sep 6, 2005",Day,Videocon Triangular Series,India,bat first,Zimbabwe
Australia,ICC World XI,Australia,255,8,162,8,home,"Oct 5, 2005",Day and night,ICC World XI tour of Australia,Australia,bat first,Australia
Australia,ICC World XI,Australia,328,4,273,4,home,"Oct 7, 2005",Day and night,ICC World XI tour of Australia,Australia,bat first,Australia
Australia,ICC World XI,Australia,293,5,137,5,home,"Oct 9, 2005",Day and night,ICC World XI tour of Australia,Australia,bat first,Australia
New Zealand,South Africa,South Africa,250,8,249,8,home,"Oct 23, 2005",Day,New Zealand tour of South Africa,New Zealand,bat first,South Africa
India,Sri Lanka,India,350,6,198,6,home,"Oct 25, 2005",Day,Sri Lanka tour of India,India,bat first,India
Sri Lanka,India,India,123,2,122,2,home,"Oct 28, 2005",Day and night,Sri Lanka tour of India,India,field first,India
South Africa,New Zealand,South Africa,201,9,182,9,home,"Oct 28, 2005",Day and night,New Zealand tour of South Africa,South Africa,bat first,South Africa
New Zealand,South Africa,South Africa,245,6,243,6,home,"Oct 30, 2005",Day,New Zealand tour of South Africa,South Africa,field first,South Africa
Sri Lanka,India,India,303,4,298,4,home,"Oct 31, 2005",Day,Sri Lanka tour of India,Sri Lanka,bat first,India
Sri Lanka,India,India,262,6,261,6,home,"Nov 3, 2005",Day,Sri Lanka tour of India,India,field first,India
New Zealand,South Africa,South Africa,140,5,215,5,home,"Nov 6, 2005",Day,New Zealand tour of South Africa,South Africa,field first,South Africa
India,Sri Lanka,Sri Lanka,286,5,285,5,away,"Nov 6, 2005",Day and night,Sri Lanka tour of India,Sri Lanka,field first,India
Sri Lanka,India,India,197,3,196,3,home,"Nov 9, 2005",Day,Sri Lanka tour of India,India,field first,India
Sri Lanka,India,India,245,5,244,5,home,"Nov 12, 2005",Day,Sri Lanka tour of India,Sri Lanka,bat first,India
India,South Africa,South Africa,252,5,249,5,away,"Nov 16, 2005",Day,South Africa tour of India,South Africa,field first,India
South Africa,India,India,171,4,169,4,home,"Nov 19, 2005",Day and night,South Africa tour of India,India,field first,India
India,South Africa,South Africa,189,0,188,0,away,"Nov 25, 2005",Day and night,South Africa tour of India,South Africa,field first,India
South Africa,India,India,224,5,221,5,home,"Nov 28, 2005",Day and night,South Africa tour of India,India,field first,India
Australia,New Zealand,Australia,252,8,105,8,away,"Dec 3, 2005",Day and night,Australia tour of New Zealand,New Zealand,field first,New Zealand
Australia,New Zealand,Australia,322,5,320,5,away,"Dec 7, 2005",Day and night,Australia tour of New Zealand,Australia,bat first,New Zealand
Australia,New Zealand,New Zealand,332,8,331,8,home,"Dec 10, 2005",Day and night,Australia tour of New Zealand,New Zealand,field first,New Zealand
England,Pakistan,England,327,4,285,4,away,"Dec 10, 2005",Day and night,England tour of Pakistan,England,bat first,Pakistan
England,Pakistan,Pakistan,231,3,230,3,home,"Dec 12, 2005",Day and night,England tour of Pakistan,England,bat first,Pakistan
Pakistan,England,Pakistan,353,6,188,6,home,"Dec 15, 2005",Day and night,England tour of Pakistan,England,field first,Pakistan
Pakistan,England,Pakistan,210,10,197,10,home,"Dec 19, 2005",Day and night,England tour of Pakistan,Pakistan,bat first,Pakistan
England,Pakistan,England,206,9,200,9,away,"Dec 21, 2005",Day and night,England tour of Pakistan,England,bat first,Pakistan
Sri Lanka,New Zealand,New Zealand,166,3,164,3,home,"Dec 31, 2005",Day,Sri Lanka tour of New Zealand,New Zealand,field first,New Zealand
